"area_code","item_code","Area","Item","share","category"
566,2602,"Nigeria","Onions",0.0030918710693663,"vegetal_products"
558,2613,"Nicaragua","Grapefruit and products",7.95744359167173e-06,"vegetal_products"
400,2616,"Jordan","Plantains",0,"vegetal_products"
454,2612,"Malawi","Lemons, Limes and products",0,"vegetal_products"
800,2602,"Uganda","Onions",0.00359883263378804,"vegetal_products"
270,2625,"Gambia","Fruits, other",0.00182611494046416,"vegetal_products"
446,2633,"China, Macao SAR","Cocoa Beans and products",0.0130311978431121,"vegetal_products"
703,2615,"Slovakia","Bananas",0.00568835507873581,"vegetal_products"
484,2601,"Mexico","Tomatoes and products",0.00222860885212338,"vegetal_products"
324,2616,"Guinea","Plantains",0.033822720296528,"vegetal_products"
887,2612,"Yemen","Lemons, Limes and products",0.000320558824936606,"vegetal_products"
332,2616,"Haiti","Plantains",0.0147433251554797,"vegetal_products"
300,2611,"Greece","Oranges, Mandarines",0.00855222968845449,"vegetal_products"
858,2615,"Uruguay","Bananas",0.00690992420236207,"vegetal_products"
740,2620,"Suriname","Grapes and products (excl wine)",0.000138042632166234,"vegetal_products"
266,2617,"Gabon","Apples and products",0.00121660896535668,"vegetal_products"
112,2615,"Belarus","Bananas",0.00257981602588046,"vegetal_products"
499,2619,"Montenegro","Dates",8.12301249439662e-05,"vegetal_products"
688,2614,"Serbia","Citrus, Other",3.60398240055261e-05,"vegetal_products"
414,2618,"Kuwait","Pineapples and products",0.000211137202089688,"vegetal_products"
288,2611,"Ghana","Oranges, Mandarines",0.00651736148906062,"vegetal_products"
508,2611,"Mozambique","Oranges, Mandarines",0.00117730262182753,"vegetal_products"
562,2615,"Niger","Bananas",0.000164643253350686,"vegetal_products"
646,2613,"Rwanda","Grapefruit and products",4.72295165586685e-06,"vegetal_products"
376,2613,"Israel","Grapefruit and products",0.00147084942942143,"vegetal_products"
764,2602,"Thailand","Onions",0.000339237772849306,"vegetal_products"
348,2611,"Hungary","Oranges, Mandarines",0.00128447720792105,"vegetal_products"
233,2617,"Estonia","Apples and products",0.00639206084375203,"vegetal_products"
328,2617,"Guyana","Apples and products",0.000626312065785964,"vegetal_products"
704,2614,"Viet Nam","Citrus, Other",4.76462740613684e-05,"vegetal_products"
690,2618,"Seychelles","Pineapples and products",0.000580753608968856,"vegetal_products"
430,2633,"Liberia","Cocoa Beans and products",0.000673729758453648,"vegetal_products"
784,2611,"United Arab Emirates","Oranges, Mandarines",0.00221301956659874,"vegetal_products"
262,2640,"Djibouti","Pepper",0.000796440619305554,"vegetal_products"
258,2618,"French Polynesia","Pineapples and products",0.00286756590416003,"vegetal_products"
540,2616,"New Caledonia","Plantains",0.000248764531375891,"vegetal_products"
620,2613,"Portugal","Grapefruit and products",6.27578062153049e-05,"vegetal_products"
682,2614,"Saudi Arabia","Citrus, Other",0.00142414217686066,"vegetal_products"
442,2615,"Luxembourg","Bananas",0.00488753156409727,"vegetal_products"
352,2618,"Iceland","Pineapples and products",0.00165519026982375,"vegetal_products"
780,2613,"Trinidad and Tobago","Grapefruit and products",0.000366736957916934,"vegetal_products"
192,2731,"Cuba","Bovine Meat",0.0110627845342642,"meat"
894,2612,"Zambia","Lemons, Limes and products",5.19980240750851e-06,"vegetal_products"
524,2586,"Nepal","Oilcrops Oil, Other",0.019225180248506,"vegetal_products"
242,2612,"Fiji","Lemons, Limes and products",3.75179617241755e-06,"vegetal_products"
410,2605,"Republic of Korea","Vegetables, other",0.0380208614819218,"vegetal_products"
662,2617,"Saint Lucia","Apples and products",0.00151889195458238,"vegetal_products"
144,2602,"Sri Lanka","Onions",0.00584253969800688,"vegetal_products"
268,2617,"Georgia","Apples and products",0.00294872633928896,"vegetal_products"
478,2633,"Mauritania","Cocoa Beans and products",0.00145930605787411,"vegetal_products"
642,2613,"Romania","Grapefruit and products",0.000272054339117228,"vegetal_products"
724,2605,"Spain","Vegetables, other",0.0152570981338815,"vegetal_products"
428,2615,"Latvia","Bananas",0.00250558939171999,"vegetal_products"
591,2614,"Panama","Citrus, Other",8.28023320147689e-05,"vegetal_products"
462,2619,"Maldives","Dates",0.00179576627289305,"vegetal_products"
862,2611,"Venezuela (Bolivarian Republic of)","Oranges, Mandarines",0.00479765585503169,"vegetal_products"
578,2614,"Norway","Citrus, Other",4.52477768258986e-05,"vegetal_products"
834,2601,"United Republic of Tanzania","Tomatoes and products",0.00154112716080727,"vegetal_products"
422,2612,"Lebanon","Lemons, Limes and products",0.00240255221940685,"vegetal_products"
368,2615,"Iraq","Bananas",2.68426522074247e-05,"vegetal_products"
222,2613,"El Salvador","Grapefruit and products",7.68140600455507e-06,"vegetal_products"
616,2613,"Poland","Grapefruit and products",0.000345703113652077,"vegetal_products"
124,2612,"Canada","Lemons, Limes and products",0.000567003259556427,"vegetal_products"
854,2614,"Burkina Faso","Citrus, Other",0,"vegetal_products"
458,2612,"Malaysia","Lemons, Limes and products",7.44366738858425e-05,"vegetal_products"
174,2641,"Comoros","Pimento",0,"vegetal_products"
512,2616,"Oman","Plantains",0,"vegetal_products"
450,2612,"Madagascar","Lemons, Limes and products",8.60338399770576e-05,"vegetal_products"
516,2615,"Namibia","Bananas",0.00112886029905839,"vegetal_products"
180,2612,"Democratic Republic of the Congo","Lemons, Limes and products",3.69875490662956e-05,"vegetal_products"
705,2614,"Slovenia","Citrus, Other",0.00011220650984768,"vegetal_products"
364,2613,"Iran (Islamic Republic of)","Grapefruit and products",0.000205927932204336,"vegetal_products"
504,2611,"Morocco","Oranges, Mandarines",0.00578043530841745,"vegetal_products"
440,2617,"Lithuania","Apples and products",0.00227507627557909,"vegetal_products"
